[2017-02-27 13:07:38 #18006.0]	NOTICE	Server is shutdown now.
1[2017-02-27 13:07:39 *18214.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18216.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18218.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18217.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18220.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18222.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
111[2017-02-27 13:07:39 ^18223.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:39 ^18219.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:39 *18221.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18224.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18225.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18226.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18228.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18230.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18227.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18229.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18231.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18232.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18233.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18234.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18235.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
111[2017-02-27 13:07:39 ^18238.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:39 *18237.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:39 *18236.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18240.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18239.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18241.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18242.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18243.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18245.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18246.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18244.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18247.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18249.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18248.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18250.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18251.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 *18252.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:39 ^18253.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18254.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18255.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18257.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18256.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18258.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18259.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18260.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18261.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18263.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18262.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18264.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18266.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18265.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18267.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18269.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18268.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18271.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18270.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18273.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
11[2017-02-27 13:07:40 ^18272.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:40 *18274.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18275.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18276.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18277.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18278.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18279.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18280.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18281.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18282.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18283.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18284.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18285.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18287.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18286.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18290.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
11[2017-02-27 13:07:40 ^18289.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18291.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:40 *18288.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
111[2017-02-27 13:07:40 *18293.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
